Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-21,43.67413756743377,43.9060691294823,43.103234342163,43.73657989501953,14377300,0.0,0.0
2023-04-24,43.73657989501953,43.986352608214226,43.48681058467648,43.73657989501953,11208800,0.0,0.0
2023-04-25,43.26379753658167,43.397604457113694,42.56800971665835,42.72857666015625,15374000,0.0,0.0
2023-04-26,42.63936727147955,42.6928907156926,41.38159525670677,41.80085372924805,16984600,0.0,0.0
2023-04-27,41.961425480832,42.23795480058118,41.42620118575191,41.9525032043457,16541400,0.0,0.0
2023-04-28,41.65489837511407,42.682971963253685,41.51962797889115,42.4484977722168,15222100,0.51,0.0
2023-05-01,43.17897374156423,43.629881978597645,42.53868143045757,42.6108283996582,18314800,0.0,0.0
2023-05-02,42.223047903418774,42.439485375286694,41.086760636543694,41.483558654785156,19450100,0.0,0.0
2023-05-03,41.60078937023884,42.024640717281684,41.149881193271625,41.185951232910156,14533500,0.0,0.0
2023-05-04,40.617811821582784,40.942466278724986,39.752068895974645,40.49155807495117,20601800,0.0,0.0
2023-05-05,41.303191732646106,41.93446392055679,41.18595463371036,41.77213668823242,13384500,0.0,0.0
2023-05-08,42.27715725951851,42.52064812028942,41.727048660016465,41.80821228027344,8760900,0.0,0.0
2023-05-09,41.4023908345831,42.16893339941268,41.29417382970098,41.95249938964844,10188800,0.0,0.0
2023-05-10,42.520653314175135,42.55672336301775,41.113818204595404,41.81723403930664,11840000,0.0,0.0
2023-05-11,41.24908073539427,41.60078855612083,40.96951643268931,41.51060485839844,11222800,0.0,0.0
2023-05-12,41.781159748861896,41.82624988545558,40.64486904182235,40.9875602722168,12812800,0.0,0.0
2023-05-15,41.203990107109576,41.763118752423495,41.14988332477094,41.52864456176758,11911300,0.0,0.0
2023-05-16,41.42042965529051,41.62784702512831,40.81621084736586,40.83424758911133,9201200,0.0,0.0
2023-05-17,41.2851517009429,42.484569106398496,41.2851517009429,42.457515716552734,16359100,0.0,0.0
2023-05-18,42.3673418392916,42.3673418392916,41.357308249058306,41.835269927978516,17618000,0.0,0.0
2023-05-19,41.89838912505928,42.141879965916985,41.14086321133194,41.22202682495117,15416200,0.0,0.0
2023-05-22,41.45650142317078,41.5737350794297,40.9875564776653,41.29417419433594,14471000,0.0,0.0
2023-05-23,41.33926646438183,42.2230461780953,41.303192980518396,41.40239334106445,13797100,0.0,0.0
2023-05-24,40.726033960418484,40.798180933390974,39.86930757723377,40.12181854248047,23744900,0.0,0.0
2023-05-25,39.95046742095257,40.401375638886925,39.57170616916292,39.8873405456543,18109400,0.0,0.0
2023-05-26,40.094762166186705,40.266109508877925,39.6709107356744,40.22101593017578,11962600,0.0,0.0
2023-05-30,40.33824876576253,40.482539257903035,39.905377289341025,40.311195373535156,12431100,0.0,0.0
2023-05-31,39.860292650088965,40.04967330209903,39.418401021908316,39.968509674072266,18154100,0.0,0.0
2023-06-01,40.29316751438161,40.897383008366624,39.959496322780296,40.43745803833008,15757100,0.0,0.0
2023-06-02,41.005594100155875,42.09679115288115,40.906393742606916,41.77213668823242,19455600,0.0,0.0
2023-06-05,41.80821014163291,41.91642714972091,41.31221179439323,41.69999313354492,11004700,0.0,0.0
2023-06-06,41.65490126864461,42.8452987269106,41.61883122457352,42.58377456665039,14189200,0.0,0.0
2023-06-07,42.80922914625756,43.44951801752826,42.52966480070027,43.296207427978516,15457400,0.0,0.0
2023-06-08,43.043701596345,43.512646594220726,42.86333760636865,43.37737274169922,12058600,0.0,0.0
2023-06-09,43.37737525737592,43.801230142378316,43.206031349047606,43.5577392578125,11744000,0.0,0.0
2023-06-12,43.530681183918325,43.73809855807595,43.26013693241519,43.69300842285156,13801000,0.0,0.0
2023-06-13,43.693005078341365,44.567764643237204,43.693005078341365,43.90943908691406,14062700,0.0,0.0
2023-06-14,44.03569576760298,44.432493738878044,42.89038854487766,43.503623962402344,22053000,0.0,0.0
2023-06-15,43.40443582442282,43.81927065297456,42.90843736070595,43.79221725463867,14926100,0.0,0.0
2023-06-16,44.04472405175336,44.04472405175336,43.431488472248795,43.45854187011719,18223000,0.0,0.0
2023-06-20,43.206022435209505,43.206022435209505,42.45751663203416,42.93547821044922,12777700,0.0,0.0
2023-06-21,42.836286766749964,43.15192118791578,42.59279588178327,42.755123138427734,10550700,0.0,0.0
2023-06-22,42.58377627995815,42.619846325480474,41.871340418498896,42.05170440673828,11841900,0.0,0.0
2023-06-23,41.57373425116206,41.70900808588158,41.339263503158946,41.501590728759766,13249100,0.0,0.0
2023-06-26,41.59177268530026,42.10580777391406,41.492572327820994,41.69999313354492,13253900,0.0,0.0
2023-06-27,41.6639238804199,42.03366851573308,41.393379612656574,41.84428787231445,11863300,0.0,0.0
2023-06-28,41.81722511892176,41.83526185957413,41.3212267915295,41.69097137451172,13394900,0.0,0.0
2023-06-29,41.63686621285519,42.195994920562235,41.49257571025655,41.745086669921875,18840800,0.0,0.0
2023-06-30,42.18696880662447,42.205005546894064,41.51060652721861,41.51962661743164,15228200,0.0,0.0
2023-07-03,41.555706844233825,42.64690400651888,41.50159661464064,42.15090560913086,10159900,0.0,0.0
2023-07-05,42.12384964914948,42.43046740956517,41.85330537587847,42.205013275146484,11852900,0.0,0.0
2023-07-06,41.934468201540085,41.934468201540085,40.680943788521326,40.924434661865234,17431400,0.0,0.0
2023-07-07,40.78915617299225,41.79918959790025,40.7711194318136,41.24908447265625,13160700,0.0,0.0
2023-07-10,41.122824363347256,41.83526010859298,41.06871758381127,41.185951232910156,14307600,0.0,0.0
2023-07-11,41.30319175373571,42.033664299568336,41.149884612104785,41.961517333984375,14131700,0.0,0.0
2023-07-12,42.61984503695668,43.530681601957674,42.583774992524866,42.728065490722656,17960500,0.0,0.0
2023-07-13,42.89039823739078,43.151922433840355,42.51163348089855,42.99861526489258,26210700,0.0,0.0
2023-07-14,43.72006494482716,43.783191826690405,41.20399600145365,41.25810623168945,38634500,0.0,0.0
2023-07-17,41.31221057908847,42.04267966238963,41.23104696537095,41.71802520751953,18521400,0.0,0.0
2023-07-18,42.159920999583726,42.98057386966988,42.096794120358396,42.403411865234375,24678000,0.0,0.0
2023-07-19,42.457522504271175,43.14290153113476,42.04268429942951,42.85432052612305,15789100,0.0,0.0
2023-07-20,42.73708639433866,43.17897802412798,42.59279588178327,42.755123138427734,17647200,0.0,0.0
2023-07-21,42.872349588698604,42.92645636734739,42.22304072366254,42.430458068847656,18251600,0.0,0.0
2023-07-24,42.36733628736239,43.1428989825758,42.36733628736239,42.98057174682617,19006200,0.0,0.0
2023-07-25,42.827261590557406,43.08878572740292,42.43948027021829,42.46653366088867,14729900,0.0,0.0
2023-07-26,42.73707917321062,43.061733631643875,42.40340806433492,42.82726287841797,12267900,0.0,0.0
2023-07-27,42.926463197168005,44.297224663585794,42.782172697553335,43.17897415161133,25162700,0.0,0.0
2023-07-28,43.57577607361603,43.611849561794166,42.46654211331694,42.755123138427734,20871700,0.0,0.0
2023-07-31,42.91744487071873,43.33227961089813,42.71002750062903,42.98057174682617,14377200,0.0,0.0
2023-08-01,42.682971963253685,42.80922570912437,42.21402702133646,42.4484977722168,15219100,0.0,0.0
2023-08-02,41.862323305731984,42.09679753917438,41.43847185939058,41.763126373291016,13101100,0.0,0.0
2023-08-03,41.45650147389961,41.9074096789578,41.22202728078166,41.672935485839844,13467100,0.0,0.0
2023-08-04,41.71855195106733,42.5943396632793,41.563466066227534,41.7003059387207,18329500,0.53,0.0
2023-08-07,41.91925653459003,42.18381850567626,41.62732728376082,41.809783935546875,16972000,0.0,0.0
